Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed,did the student have any gaps in academic career,duration of academic gap in months,does the student have any prior work experience,total work experience of the student in months,name of the first organization worked at,duration of work experience at first organization in months,industry of the first organization,domain or function at first organization,job title or designation at first organization,name of the second organization worked at,duration of work experience at second organization in months,industry of the second organization,domain or function at second organization,job title or designation at second organization,name of the third organization worked at,duration of work experience at third organization in months,industry of the third organization,domain or function at third organization,job title or designation at third organization,"Languages the student can speak, understand, or is proficient in",Desired job role or long-term career goal of the student,First area of academic or professional specialization of the student,Second area of academic or professional specialization of the student,Name of the organization where the student completed their summer internship,Role or profile undertaken by the student during their summer internship,projects or research work done during mba,technical skills of the student,interpersonal or soft skills of the student
16,Nitin Kapoor,Male,10/25/2000,25,8.33,Shaheed Bhagat Singh College (Evening),University Of Delhi,B.Sc. (Hons.),Zoology,75.48,2020,Government Boys Higher Secondary School,Assam Higher Secondary Education Council,Science (Medical),81.6,2017,Dynasty International School,Jammu and Kashmir State Board of School Education (JKBOSE),95,2015,Yes,4 months,Yes,26 months,Student Circus,7 months,Information Technology,Sales,Management Trainee,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Gujarati",People Analytics Manager,Finance,Marketing,Skolar,Summer Intern - Finance,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
17,Kunal Patnaik,Male,8/21/2000,23,6.79,Lovely Professional University,Lovely Professional University,B.Tech,Civil Engineering,79.1,2022,La Martiniere College,CBSE,Science (Non-Medical),81.6,2018,Lancer's Convent School,CBSE,95,2016,Yes,9 months,No,12 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Finance,Allengers Medical Systems Ltd,Marketing Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
18,Shreya Dhillon,Female,3/25/2002,22,7.51,Shyama Prasad Mukherjee College For Women,University Of Delhi,B.Com. (Hons.),General,72.3,2023,Vikas Bharati Public School,CBSE,Commerce,91.8,2020,Puranchandra Vidyaniketan,CBSE,93.16,2018,No,10 months,No,23 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Research Associate,Finance,Marketing,Clove Dental (Star Dental Care),Sales & Marketing Intern,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
19,Fatima Suri,Female,5/30/1998,24,7.88,Ram Lal Anand College,University Of Delhi,B.A. (Hons.),Economics,87.69,2022,Lotus Valley International School,CBSE,Arts/ Humanities,94.67,2017,Delhi Public School R.K Puram,CBSE,93.1,2015,No,1 months,Yes,11 months,Sawan Marbles,17 months,Engineering,Sales,Developer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Process Improvement Specialist,Marketing,Finance,Genpact,Key Account Manager,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
20,Kabir Nigam,Male,3/13/1998,26,7.34,Satyawati College,Calcutta University,B.B.A.,General,73.2,2020,Kendriya Vidyalaya No. 1,CBSE,Commerce,77.8,2016,Kendriya Vidyalaya Masjid Moth,CBSE,95,2014,Yes,7 months,No,20 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Brand Manager,Marketing,Finance,Kotak Securities,Summer Intern- Consulting,"1. Workforce Analytics
2. HR Metrics
3. Predictive HR Models","1. HR Analytics
2. Statistical Software
3. Data Visualization","1. Business Partnership
2. People Management
3. Strategic HR"
21,Riya Lal,Female,7/29/2002,23,6.58,Amity University,Amity University,B.Com. (Hons.),General,79.6,2022,Manav Rachna International School,CBSE,Commerce,87.6,2019,Maheshwari Public School RIICO P-II Bagru Jaipur,CBSE,81.7,2017,Yes,3 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Finance,Marketing,Axis Bank,Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
22,Manish Mohanty,Male,9/30/2000,24,6.82,Kalinga Institute Of Industrial Technology,Kalinga Institute Of Industrial Technology,B.Tech,Commerce,76.9,2021,Samrat Public School,CBSE,Science (Non-Medical),90.5,2018,Mira Model School,CBSE,93.1,2016,No,8 months,No,7 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Finance,Marketing,Care Health Insurance,Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
23,Kunal Nair,Male,2/21/1999,25,7.55,Future Institute Of Technology,Dr. A.P.J. Abdul Kalam Technical University,B.A. LLB,Finance,80.6,2023,K.R. Mangalam World School,CBSE,Arts/ Humanities,95,2016,Lord Mahavira Academy,ICSE,95,2014,No,12 months,Yes,29 months,Infosys Limited,11 months,Hospitality and Real Estate,Accounting,Manager for operations,Shyam Designers and Consultants Pvt. Ltd.,11 months,Counsulting,Management,Audit Analyst,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Digital Marketing Specialist,Finance,Marketing,To-Let Globe,Business Analytics Intern,"1. Financial Planning
2. Risk Management
3. Investment Analysis","1. Financial Modeling
2. Advanced Excel
3. ERP Systems","1. Financial Leadership
2. Strategic Planning
3. Risk Assessment"
24,Devendra Kulkarni,Male,3/17/1994,25,7.02,Mes Abasaheb Garware College Of Arts And Science Pune,Kurukshetra University,B.Com. (Hons.),Logistics Management,80.2,2020,St. Xavier'S School,West Bengal Council of Higher Secondary Education,Commerce,74,2018,Dasmesh Public School,West Bengal Board of Secondary Education,79.8,2016,Yes,0 months,No,30 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Bengali",Brand Manager,Finance,Marketing,ContentLane Pvt Ltd.,Customer Relationship Management Trainee,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
25,Dinesh Iyer,Male,8/17/1998,21,7.32,Maharaja Surajmal Institute,Symbiosis International University,B.Sc.,Hotel Management,77.45,2022,Jinvani Bharti Public School,CBSE,Science (Non-Medical),75.8,2018,MDH International School,CBSE,85.5,2016,Yes,1 months,No,27 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Marketing,Finance,Woxen Digital,Management Trainee,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
26,Riya Bose,Female,2/20/2002,23,6.46,Gargi College,University Of Delhi,B.A. (Hons.),English,65,2022,Amity International School,CBSE,Science (Non-Medical),89.2,2019,Our Lady of Fatima,CBSE,91.2,2017,Yes,3 months,No,10 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Analyst,Finance,Marketing,SMS Integrated Facilities,Finance and Accounts Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
27,Raghav Suri,Male,4/27/2001,22,7.54,Goswami Ganesh Dutta Sanatan Dharma College,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.B.A.,Management,75.62,2022,R.R.K. Senior Secondary School,CBSE,Commerce,86.8,2018,MVN Aravali Hills,CBSE,81.7,2016,Yes,3 months,No,6 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Enrich Agro Food Products Pvt Ltd (Coca-Cola FBO),Business development Associate,"1. Digital Marketing Campaigns
2. Content Strategy
3. Social Media Analytics","1. Google Analytics
2. Social Media Tools
3. SEO/SEM Platforms","1. Digital Innovation
2. Analytics Thinking
3. Content Strategy"
28,Pallavi Pillai,Female,7/27/2002,24,8.31,Panjab University Main Campus,The Assam Royal Global University,B.B.A.,General,78.75,2021,Shree Sanatan Dharm Education Centre,RBSE,Commerce,53.5,2018,"Delhi public school, Megacity",CBSE,79.8,2016,Yes,9 months,Yes,6 months,Godrej and Boyce Mfg. Co. Ltd.,14 months,Consultancy,Product,Systems Engineer,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Brand Manager,Big Data Analytics,Finance,Corizo Edutech,Summer Intern- IT,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
29,Shraddha Dwivedi,Female,7/14/1998,22,7.58,Keshav Mahavidyalaya,University Of Delhi,B.A. (Hons.),Economics,87.55,2022,Queen'S Convent School,CBSE,Commerce,95.33,2019,Pragati Public School,CBSE,95,2017,Yes,3 months,No,30 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,International Business,Human Resources,Dabur,Management trainee - Business Development,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
30,Jitendra Suri,Male,9/20/1998,22,6.36,Bhaskaracharya College Of Applied Sciences,University Of Delhi,B.B.A.,General,77.81,2021,Haryana Council Of Open Schooling,CBSE,Commerce,74,2018,Innocent Children Academy,CBSE,91.2,2016,Yes,3 months,Yes,20 months,Amazon Pay India Pvt. Ltd.,11 months,Information Technology,Hospitality,Audit Analyst,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Business Analyst,International Business,Finance,Berger Paints India Ltd.,Finance Intern,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
31,Aman Rathi,Male,10/30/1999,23,7.04,Thakur College Of Science And Commerce,Mumbai University,B.B.A.,Commerce,78.83,2022,Maheshwari Public School Riico P-Ii,CBSE,Commerce,80.6,2019,Manav Rachna International School,ICSE,81.7,2017,Yes,5 months,No,31 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,International Business,Marketing,Anexas Pharmaceuticals,Valuation Analyst,"1. Brand Strategy
2. Market Positioning
3. Product Launch Strategy","1. Brand Analytics Tools
2. Market Research Software
3. Digital Marketing Platforms","1. Brand Leadership
2. Strategic Thinking
3. Creative Direction"
32,Aman Tiwari,Male,8/26/2001,25,6.43,University College Of Commerce And Management Studies,Barkatullah University,B.Com. (Hons.),Electrical And Electronics Engineering,71.82,2019,Lancer Convent School,CBSE,Science (Non-Medical),87.5,2014,Mansur Habibullah Memorial School,CBSE,93.1,2011,Yes,1 months,No,7 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi, Punjabi",Business Analyst,Marketing,Operations,Hexagon Geosystems India Pvt. Ltd.,Finance intern,"1. Process Reengineering
2. Lean Six Sigma
3. Quality Management","1. ERP Systems
2. Project Management
3. Process Mapping","1. Business Partnership
2. People Management
3. Strategic HR"
33,Keshav Garg,Male,3/29/1999,22,6.65,Babu Shivanth Agrawal College,Guru Gobind Singh Indraprastha University,B.Com.,Mechanical Engineering,53.83,2022,Delhi Public School,CBSE,Commerce,79.33,2018,Ryan International School,CBSE,64.6,2016,Yes,2 months,No,13 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Indian Oil Corporation LTD.,Business Development Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
34,Namrata Gill,Female,11/29/1999,28,8.33,Sri Aurobindo College,Kiit University,B.A. (Hons.),Economics,60.6,2019,Modern Public School,West Bengal Council of Higher Secondary Education,Commerce,76,2015,St. Anthonys Secondary School,West Bengal Board of Secondary Education,80.5,2013,Yes,0 months,Yes,32 months,Infocepts India Pvt Ltd,13 months,Financial Services & Insurance,Supply Chain,Operations Analyst,KPMG,6 months,Ed-tech,Audit and Assurance,Senior Business Consultant,No Organisation,0 months,None,None,None,"English, Hindi, Gujarati",Strategy Analyst,International Business,Big Data Analytics,Sansera Engineering Ltd.,Sales&Marketing Intern,"1. Process Improvement
2. Business Requirements
3. System Analysis","1. SQL
2. Tableau
3. Advanced Excel","1. Business Acumen
2. Stakeholder Management
3. Analytical Thinking"
35,Ankita Nigam,Female,4/18/2001,23,6.34,Dpg Institute Of Technology And Management,Aligarh Muslim University,B.B.A.,Accounting And Taxation,79.1,2022,Patrachar Vidyalaya,Maharashtra State Board of Secondary and Higher Secondary Education,Science (Non-Medical),73.8,2018,Lycee,ICSE,91,2016,Yes,7 months,No,7 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Market Research Specialist,Marketing,Finance,Skolar,Marketing Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
36,Vijay Bedi,Male,11/15/2002,23,6.44,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,81.4,2022,St.Francis School,CBSE,Commerce,77.8,2019,Stella Maris Inter College,CBSE,66.5,2017,Yes,8 months,No,23 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Marketing Analytics Manager,International Business,Marketing,Care Health Insurance,Summer Intern,"1. Marketing Analytics
2. Customer Segmentation
3. Campaign Performance Analysis","1. Advanced Analytics Tools
2. CRM Systems
3. Data Visualization","1. Data-Driven Decision Making
2. Analytical Thinking
3. Strategic Planning"
37,Asha Garg,Female,12/28/2000,23,6.97,Sri Guru Tegh Bahadur Khalsa College,University Of Delhi,B.A. (Hons.),Economics,75.85,2022,Titiksha Public School,CBSE,Commerce,91.8,2019,The Gladiolus School,CBSE,89.3,2017,Yes,10 months,No,16 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Digital Marketing Specialist,Big Data Analytics,Marketing,Ernst and young,Analyst,"1. Business Transformation
2. Strategy Development
3. Process Optimization","1. Strategic Analysis Tools
2. Advanced Excel
3. Project Management Software","1. Problem Solving
2. Strategic Thinking
3. Client Management"
38,Srishti Guha,Female,8/20/2001,21,6.6,Institute Of Home Economics,University Of Delhi,B.Sc. (Hons.),Resource Management,72.81,2023,Jagannath International School,CBSE,Science (Medical),90.2,2020,Jagannath International School,CBSE,74.1,2018,No,12 months,No,30 months,No Organization,0 months,None,None,None,No Organisation,0 months,None,None,None,No Organisation,0 months,None,None,None,"English, Hindi",Business Intelligence Developer,Finance,Finance,Cocentrus Pvt. Ltd.,Customer Relationship Management Intern,"1. Predictive Modeling
2. Machine Learning
3. Data Analytics","1. Python
2. SQL
3. Machine Learning Libraries","1. Statistical Thinking
2. Problem Solving
3. Technical Communication"
