Roll_Number,fullName,Gender,BirthDate,age,MBA CGPA,garduation college,University,Degree,Specialization,percentage marks obtained during graduation,year when graduation was completed,name of the school attended for class 12,education board for class 12,academic stream chosen in class 12,percentage marks scored in class 12,year when class 12 was completed,name of the school attended for class 10,education board for class 10,percentage marks scored in class 10,year when class 10 was completed
33,Keshav Garg,Male,3/29/1999,22,6.65,Babu Shivanth Agrawal College,Guru Gobind Singh Indraprastha University,B.Com.,Mechanical Engineering,53.83,2022,Delhi Public School,CBSE,Commerce,79.33,2018,Ryan International School,CBSE,64.6,2016
34,Namrata Gill,Female,11/29/1999,28,8.33,Sri Aurobindo College,Kiit University,B.A. (Hons.),Economics,60.6,2019,Modern Public School,West Bengal Council of Higher Secondary Education,Commerce,76,2015,St. Anthonys Secondary School,West Bengal Board of Secondary Education,80.5,2013
35,Ankita Nigam,Female,4/18/2001,23,6.34,Dpg Institute Of Technology And Management,Aligarh Muslim University,B.B.A.,Accounting And Taxation,79.1,2022,Patrachar Vidyalaya,Maharashtra State Board of Secondary and Higher Secondary Education,Science (Non-Medical),73.8,2018,Lycee,ICSE,91,2016
36,Vijay Bedi,Male,11/15/2002,23,6.44,Maharaja Agrasen Institute Of Management Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,81.4,2022,St.Francis School,CBSE,Commerce,77.8,2019,Stella Maris Inter College,CBSE,66.5,2017
37,Asha Garg,Female,12/28/2000,23,6.97,Sri Guru Tegh Bahadur Khalsa College,University Of Delhi,B.A. (Hons.),Economics,75.85,2022,Titiksha Public School,CBSE,Commerce,91.8,2019,The Gladiolus School,CBSE,89.3,2017
38,Srishti Guha,Female,8/20/2001,21,6.6,Institute Of Home Economics,University Of Delhi,B.Sc. (Hons.),Resource Management,72.81,2023,Jagannath International School,CBSE,Science (Medical),90.2,2020,Jagannath International School,CBSE,74.1,2018
39,Prachi Shetty,Female,4/21/2002,23,6.93,Gargi College,University Of Delhi,B.A. (Hons.),Political Science,69.16,2021,Amity International School,CBSE,Arts/ Humanities,92.6,2018,Alwar Public School,CBSE,76,2016
40,Yash Goswami,Male,8/21/2000,22,7.94,Rajdhani College,University Of Delhi,B.Com. (Hons.),Commerce,81.13,2021,Silver Bells Public School,CBSE,Commerce,87.5,2018,"Modern Public School, Shalimar Bagh",CBSE,72.2,2016
41,Nitin Patel,Male,5/14/2002,22,6.82,"Babu J.S.G.P. Mahavidyalaya, Chhachhirai,Sumerpur,Unnao",Lucknow University,B.Com.,Chemical Engineering,76.19,2022,Shri Ji Baba Saraswati Vidya Mandir,CBSE,Commerce,70.33,2019,The Gurukul Sector-20 Panchkula Haryana,CBSE,81.7,2017
42,Jitendra Sodhi,Male,3/17/1994,30,7.47,Shri Ram Murti Smarak College Of Engineering And Technology,Dr. A.P.J. Abdul Kalam Technical University,B.Tech,Electrical Engineering,68.38,2017,Nishi Memorial School,CBSE,Science (Non-Medical),81.6,2014,"B.N.S. English School Naria, Lanka BHU, Varanasi",CBSE,83.6,2011
43,Ashwin Garg,Male,3/26/2001,22,7.02,Atma Ram Sanatan Dharma College,Mangalore University,B.E.,Physics,72.27,2023,Chaitanya School,CBSE,Science (Non-Medical),70.33,2020,Bhavan Vidyalaya,CBSE,72.2,2018
44,Kabir Rana,Male,3/15/2002,22,5.41,Dr. M G R Educational And Research Institute,Mohan Lal Shukhadia University,B.B.A.,Marketing,68.81,2022,Bal Vidya Mandir,CBSE,Science (Medical),72.83,2019,Bal Vidya Mandir,CBSE,76,2017
45,Rahul Sandhu,Male,10/15/1999,26,7.6,Iec College Of Engineering And Technology,Maulana Abul Kalam Azad University Of Technology,B.Tech,Electrical Engineering,79.1,2020,Presidency The International School,CBSE,Science (Non-Medical),79.33,2016,PRESIDENCY THE INTERNATIONAL SCHOOL,CBSE,79.8,2014
46,Harish Malhotra,Male,4/30/1999,22,7.51,N.L Dalmia College,Mumbai University,B.Sc.,"Statistics, Mathematics, Information Technology",84.05,2021,Jinvani Bharti Public School,Uttar Pradesh State Board of High School and Intermediate Education,Science (Non-Medical),81.16,2018,MDH International School,CBSE,87.17,2016
47,Harish Aggarwal,Male,5/18/1998,22,7.64,Rukmini Devi Institute Of Advanced Studies,Guru Gobind Singh Indraprastha University,B.Tech,Mechanical And Automation Engineering,75.62,2023,Bal Bharati Public School,CBSE,Science (Medical),85.8,2019,USPC Jain Public School,CBSE,87.17,2017
48,Rishi Chahal,Male,8/27/2001,25,6.85,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,76.2,2019,Haryana Council Of Open Schooling,CBSE,Science (Non-Medical),74.6,2016,K.R.Mangalam World School,CBSE,91.2,2014
49,Deepak Yadav,Male,4/14/2001,24,5.83,Jain Group Of Institutions,Dr. Bhimrao Ambedkar University,B.B.A.,General,81.8,2020,Ryan International School,CBSE,Science (Medical),74,2016,"Darbari Lal D.A.V Model School, Pitampura",CBSE,74.1,2014
50,Yash Pillai,Male,7/23/2000,21,6.52,Institute Of Management And Entrepreneurship Development,Bharati Vidyapeeth (Deemed To Be University),B.B.A.,Finance,77.75,2023,Delhi Public School,CBSE,Commerce,66.4,2019,"Delhi Public School, Agra",CBSE,68.4,2017
51,Nandini Chaudhary,Female,9/25/2002,23,8.39,Dav College,University Of Delhi,B.Com. (Hons.),General,79.45,2021,St. Michael Senior Secondary School,CBSE,Commerce,91.8,2018,Pragati Public School,CBSE,87.4,2016
52,Rajat Krishna,Male,9/21/1999,24,7.75,Kristu Jayanti College Of Law,Calcutta University,B.Com. (Hons.),Accountancy,75.23,2020,Carmel School,ISC,Commerce,77.83,2017,Darbari lal foundation(DLF) public school,ICSE,82.83,2015
53,Suraj Mishra,Male,7/14/1998,29,6.16,Institute Of Technical Education & Research,Calicut University,B.Tech,Mechanical Engineering,63.9,2016,Vidya Bharti Chinmaya Vidyalaya,CBSE,Science (Non-Medical),87,2010,R K C Vidya Vihar,ICSE,85.5,2008
54,Vivek Sekhon,Male,12/15/1997,25,6.8,Government Engineering College,Vellore Institute Of Technology,B.Tech,Computer Science Engineering,76.9,2021,St. Francis Inter College,Kerala Higher Secondary Education,Science (Non-Medical),62.4,2017,St. Mark Senior Secondary Public School,Kerala State Board of Public Examination,74.1,2015
55,Ashwini Pandey,Female,10/17/2002,23,7.83,Mulund College Of Commerce,University Of Kota,B.Com. (Hons.),Commerce,73.68,2021,Mata Nand Kaur Senior Secondary School,CBSE,Commerce,80,2018,Lancer's Convent,CBSE,74.33,2016
56,Mukesh Nair,Male,11/15/1997,26,6.33,City College Of Commerce & Business Administration,Kiit University,B.Tech,Civil Engineering,77.9,2022,St Columbas School,CBSE,Science,62.4,2016,M.B.D.A.V.Sr.Sec. School,CBSE,82,2014
57,Kunal Sodhi,Male,6/23/2000,22,7.98,Manipal University,University Of Delhi,B.Com. (Hons.),Commerce,77.71,2021,St. Marks Girls' Senior Secondary School,CBSE,Commerce,88,2018,Devasya International Public School,CBSE,79,2016
58,Preeti Mann,Female,5/14/2001,21,6.68,Indraprastha College For Women,Guru Gobind Singh Indraprastha University,B.A.,History And Political Science,60,2023,Bhartiya Vidya Bhavans Vidya Mandir,CBSE,Humanities,94.4,2020,Delhi Public School,CBSE,93.5,2018
59,Vijay Mehta,Male,8/18/1998,26,7.19,Amity University,Guru Gobind Singh Indraprastha University,B.Sc. (Hons.),Zoology,61.56,2021,Rajkiya Pratibha Vikas Vidyalaya,Assam Higher Secondary Education Council,Science (Medical),81.6,2016,M.B.D.A.V.Sr.Sec. School,Jammu and Kashmir State Board of School Education (JKBOSE),87.4,2014
60,Shruti Goswami,Female,7/31/2001,25,6.35,Banasthali Vidhyapeeth,Banasthali University,B.Tech,Electronics And Communication Engineering,63.65,2021,Salwan Public School,CBSE,Science (Non-Medical),68.66,2017,Our Lady of Fatima,CBSE,76,2015
61,Sadia Nigam,Female,7/29/2002,23,7.47,Vivekananda College,University Of Delhi,B.Sc. (Hons.),Statistics,89.2,2022,Green Way Modern School,CBSE,Science (Medical),91.8,2019,Lancer's Convent School,CBSE,95,2017
62,Manisha Patel,Female,8/13/1998,23,6.68,Shaheed Rajguru College Of Applied Sciences For Women,Guru Gobind Singh Indraprastha University,B.A. (Hons.),Economics,58,2022,Ashok Memorial Public School,ISC,Commerce,77.2,2019,Chickar International School,ICSE,85.5,2017
63,Harini Mann,Female,8/25/1998,23,8.32,Rajdhani College,University Of Delhi,B.Com. (Hons.),Commerce,76.38,2021,Delhi Public School,CBSE,Commerce,93.83,2018,St. Xavier's School,CBSE,95,2016
64,Jitendra Sekhon,Male,7/25/2000,23,8.28,Pannalal Girdharlal Dayanand Anglo Vedic College,University Of Delhi,B.A.,Physical Science With Chemistry,82.5,2022,Grace Academy,CBSE,Commerce,86,2019,Khaitan Public School,CBSE,95,2017
65,Rajeev Iyer,Male,7/20/2000,23,8.6,Ramanujan College,Panjab University,B.Com. (Hons.),Marketing,96.6,2022,L B Shastri Smk Javm S S School,CBSE,Commerce,77.17,2019,S.M. Nimawat Public School,CBSE,81.7,2017
66,Mukesh Sidhu,Male,8/31/1992,27,6.95,Abes Engineering College,Dr. A.P.J. Abdul Kalam Technical University,B.B.A.,General,73.2,2018,Modern Senior Secondary School,CBSE,Commerce,85.2,2015,Modern senior secondary school,CBSE,72.2,2013
67,Kartik Malhotra,Male,5/30/1999,24,8,Institute Of Hotel Management,University Of Delhi,B.Tech,General,79.84,2020,Shri Swami Narayan Academy,Kerala Higher Secondary Education,Science (Non-Medical),79.33,2017,Ursuline Convent Senior Secondary School,CBSE,89.3,2015
68,Sachin Aggarwal,Male,1/14/2002,29,7.19,"B.M.S Institute Of Technology And Management , Bengaluru",Gujarat Technological University,B.C.A.,Electrical Engineering,65.8,2016,Kendriya Vidyalaya (Sac),CBSE,Science (Non-Medical),62.4,2012,Jaspal Kaur Public School,CBSE,85.5,2009
69,Anurag Lal,Male,8/31/1992,24,7.32,Guru Tegh Bahadur Institute Of Technology,Shivaji University,B.Tech,Mechanical Engineering,76.9,2021,International Indian School,CBSE,Science,62.8,2017,Heritage International School,CBSE,79.8,2015
70,Kritika Khanna,Female,4/17/2001,24,7.26,Ambedkar Institute Of Advanced Communication Technologies And Research,Calcutta University,B.Com. (Hons.),Commerce,62,2020,Ryan International School,CBSE,Commerce,82.2,2017,Ryan International School,CBSE,85.5,2015
71,Nitin Patnaik,Male,4/27/2001,23,7.19,Rukmadevi Pannalal Laddha Maheshwari Collage,Devi Ahiliya Viswavidyalaya,B.Com.,General,83.58,2022,Vidyasagar School,CBSE,Commerce,93.25,2019,Saraswathy Vidyanikethan Central School Engandiyur,CBSE,95,2017
72,Alisha Rathi,Female,8/14/1998,27,6.73,Kanoria Mahila Mahavidhyalaya,Rajiv Gandhi Proudyogiki Vishwavidyalaya,B.E.,Computer Science Engineering,63.75,2019,Kendriya Vidyalaya 1 Stc,CBSE,Science (Non-Medical),69,2014,Kundan Vidya Mandir Sr. Sec. School,CBSE,88.14,2011
73,Trisha Nair,Female,2/28/1998,27,7.53,Northern India Engineering College,Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,70.73,2018,St. TheresaâS Convent School,CBSE,Commerce,87.6,2015,Pinewood School,CBSE,91.67,2013
74,Sneha Sekhon,Female,7/20/2001,22,8.13,Jeevan Chanan Mahila Mahavidyalaya,University Of Delhi,B.Com. (Hons.),Commerce,78.7,2023,Vanasthali Public School,CBSE,Commerce,87.5,2020,Rainbow School,CBSE,95,2018
75,Smriti Rana,Female,9/20/1998,22,6.2,Shyama Prasad Mukherjee College For Women,University Of Delhi,B.Com. (Hons.),Commerce,78.57,2022,Rukmini Devi Public School,CBSE,Commerce,82.8,2019,RD Rajpal School,CBSE,77.9,2017
76,Siddhesh Rawat,Male,2/15/1993,21,6.36,Amity School Of Liberal Arts,Kurukshetra University,B.A. (Hons.),English Hons,70.07,2022,Amity International School,CBSE,Science (Medical),63.8,2019,Vidya Bharati Chinmaya Vidyalaya,CBSE,76,2017
77,Kabir Mishra,Male,7/17/2000,24,7.49,Jamia Hamdard,Dr. A.P.J. Abdul Kalam Technical University,B.Com. (Hons.),Accountancy,84.9,2021,Manav Rachna International School,Madhya Pradesh Board of Secondary Education,Commerce,86.4,2018,Mahavir Senior Model School,Karnataka Secondary Education Board,95,2016
78,Zoya Bhullar,Female,5/18/1998,26,7.45,Ramniranjan Anandilal ( R.A) Podar College Of Commerce And Economics,Mumbai University,B.Com.,General,62.47,2019,Meerut Public Girls School,West Bengal Council of Higher Secondary Education,Commerce,77.2,2016,Kulachi Hansraj Model School,Kerala State Board of Public Examination,79.17,2014
79,Surbhi Arora,Female,3/20/2002,23,7.47,"Faculty Of Technology, Dharmsinh Desai University",Dharmsinh Desai University,B.B.A.,Finance,72.5,2022,Betnoti College,CHSE,Science (Non-Medical),53.5,2019,S.M.ARYA PUBLIC SCHOOL,ICSE,76,2017
80,Preeti Kalra,Female,8/20/2001,21,7.68,"St. Xavier'S College, Autonomous",Guru Gobind Singh Indraprastha University,B.Com. (Hons.),General,95.03,2023,Mata Nand Kaur Senior Secondary School,ISC,Commerce,78.8,2020,Prince Public School,ICSE,90.67,2018
81,Aakash Shetty,Male,12/14/1996,24,8.39,Dav College,University Of Delhi,B.Com. (Hons.),Commerce,59.8,2021,L B Shastri Smk Javm S S School,CBSE,Commerce,87.16,2018,Bharti Public School,CBSE,85.5,2016
82,Arvind Gupta,Male,11/21/1999,24,7.36,Babu Banarasi Das University,Vellore Institute Of Technology,B.Tech,Mechanical Engineering,72.52,2020,Maheshwari Public School,CBSE,Science (Non-Medical),87,2017,Delhi Public School,Maharashtra State Board of Secondary and Higher Secondary Education,66.5,2015
83,Swati Oberoi,Female,10/19/2000,23,7.83,St. Xavier'S College,University Of Delhi,B.B.A.,General,80.7,2022,Modern Vidya Niketan,CBSE,Commerce,90.8,2019,O.P. Jinal Modern School,CBSE,95,2017
84,Meghna Rawat,Female,3/18/1997,22,7.81,Maharshi Dayanand University,Maharshi Dayanand University,B.B.A.,General,65.94,2022,Sunbeam School Varuna,CBSE,Commerce,76.8,2019,Queen Mary's High School,CBSE,87.5,2017
85,Vikram Sodhi,Male,10/15/1999,26,6.64,"St. Vincent Pallotti College Of Engineering & Technology, Nagpur",Homi Bhabha State University,B.Com.,Computer Science Engineering,68,2018,D.A.V Public School,CBSE,Science (Medical),80.33,2015,"Bal Bharati Public School, Dwarka",CBSE,62.7,2013
86,Pallavi Nigam,Female,3/28/2000,22,8.39,Amity Institute Of Applied Sciences,Maharshi Dayanand Saraswati University,B.B.A.,General,84.05,2022,Lotus Valley International School,CBSE,Commerce,95.4,2019,D.A.V Public School,CBSE,95,2017
87,Samarth Rout,Male,3/26/2001,22,7.02,Maharaja Agrasen College,Guru Gobind Singh Indraprastha University,B.B.A.,General,89.3,2023,Holy Innocents Public School,CBSE,Commerce,66.4,2018,Holy Innocents Public School,CBSE,65.5,2016
88,Saurabh Bose,Male,10/29/2001,24,7.15,The Assam Royal Gloabl University,Rashtrasant Tukadoji Maharaj Nagpur University,B.Tech,Mechanical Engineering,61.8,2021,Delhi Public School,CBSE,Science (Non-Medical),74.67,2018,St. Joseph's Convent School,CBSE,93.1,2016
89,Shraddha Bhandari,Female,9/19/2000,24,8.2,"Institute Of Management, Nirma University",Guru Gobind Singh Indraprastha University,B.A. LLB,Law,87.57,2022,Delhi Public School,CBSE,Science (Non-Medical),91.33,2018,Shree Neelkanth Vidyapeeth International School,CBSE,91.2,2016
90,Sneha Kapoor,Female,3/13/1998,22,7.51,Graphic Era Deemed To Be University,Graphic Era University,B.Com. (Hons.),Human Resource Management,86.5,2022,Delhi Public School,Kerala Higher Secondary Education,Commerce,72.67,2019,"Delhi public school, Megacity",ICSE,91.2,2017
91,Aarav Patnaik,Male,3/31/2002,22,6.48,University Of Petroleum And Energy Studies,University Of Petroleum And Energy Studies,B.Sc. (Hons.),Hospitality And Hotel Administeration,81.6,2021,Darbari Lal Dav Model School,ISC,Science (Medical),63.8,2018,Sarvodaya Bal Vidyalaya,ICSE,91.2,2016
92,Aarushi Patel,Female,7/29/1993,23,6.58,Amity School Of Economics,Guru Gobind Singh Indraprastha University,B.Com.,General,71.5,2021,Vivekanand School,CBSE,Commerce,77.2,2018,Ryan International School,CBSE,83.6,2016
93,Anurag Chopra,Male,12/16/1998,24,7.02,Maharaja Agrasen Institute Of Management Studies,Symbiosis International (Deemed University),B.A. (Hons.),English,84.4,2021,Modern Public School,CBSE,Humanities with Mathematics,90.5,2018,"Delhi public school, Sushant lok",CBSE,87.4,2016
94,Rajat Rana,Male,8/17/1998,24,6.71,Mes Abasaheb Garware College Of Arts And Science Pune,Dr. A.P.J. Abdul Kalam Technical University,B.C.A.,Finance,78.82,2022,Delhi Public School,CBSE,Commerce,80.25,2018,Dasmesh Public School,CBSE,76,2016
95,Namrata Ahluwalia,Female,9/30/2000,25,7.71,Narsee Monjee Institute Of Management Studies,University Of Delhi,B.A. (Hons.),Sociology,80.5,2020,Silver Line Prestige School,CBSE,Science (Non-Medical),92.4,2017,Model School,CBSE,87.4,2015
96,Nitin Venkatesh,Male,12/20/1999,23,5.64,Assam Engineering College,University Of Delhi,B.E.,Marketing Management And Retail Business,70.07,2022,Harmilap Mission School,CBSE,Science (Non-Medical),78,2019,The Chintels School,CBSE,89.3,2017
97,Raj Das,Male,5/30/1999,24,7.22,College Of Technology,Shivaji University,B.Com.,Textile Technology,77.19,2022,Bansal Public School,CBSE,Commerce,77.2,2018,Darbari lal foundation(DLF) public school,CBSE,70.3,2016
98,Pranav Dhillon,Male,2/22/2002,22,7.25,Vivekananda Institute Of Professional Studies,Guru Gobind Singh Indraprastha University,B.B.A.,General,85.1,2022,Goodley Public School,CBSE,Commerce,70.4,2019,Baptist Convent Senior Secondary School,CBSE,72.2,2017
99,Rakesh Mishra,Male,5/26/1999,28,7.58,Sharad Pawar Dental College & Hospital,Datta Meghe Institute Of Higher Education & Research (Deemed To Be University),B.Tech,Electronics And Communication Engineering,66.77,2018,G.A.V. Public School,CBSE,Science (Non-Medical),81.6,2012,Boys' High School & College,CBSE,85.5,2010
100,Manisha Gill,Female,8/15/1997,27,6.73,Kalindi College,Mumbai University,B.Tech,Accounting,73.8,2018,Kendriya Vidyalaya Dlw,West Bengal Council of Higher Secondary Education,Science (Non-Medical),86.2,2015,Kendriya Vidhyalaya No 1,ICSE,93.1,2013
101,Aarushi Pillai,Female,9/30/2000,25,7.51,Maharaja Surajmal Institute,Guru Gobind Singh Indraprastha University,B.B.A.,General,79.1,2019,Ahlcon Public School,CBSE,Science (Non-Medical),78,2016,"Lotus Valley International School, Noida",CBSE,87.4,2014
102,Navin Jain,Male,12/20/2000,23,5.64,Assam Engineering College,Visveswaraya Technological University,B.E.,Food Science And Technology,68.47,2022,K.R Mangalam World School,CBSE,Science (Non-Medical),79.4,2019,Lucknow Public Schools and Colleges,CBSE,93,2017
103,Preeti Kulkarni,Female,4/23/1999,22,7.83,Maitreyi College For Women,University Of Delhi,B.Com. (Hons.),General,82.69,2022,Convent Of Jesus And Mary,CBSE,Commerce,92.6,2019,Maheshwari Public School,CBSE,90.16,2017
104,Bhavna Chahal,Female,12/31/1999,23,8.18,Mulund College Of Commerce,University Of Kota,B.B.A.,Accounting And Finance,79.4,2022,R.R.K. Senior Secondary School,CBSE,Commerce,89.2,2019,Pragati Public School,CBSE,95,2017
